area,year,title,url
전국,22년, 2022년 소상공인협동조합 판로지원사업(온라인) 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221226_1463.jsp?gubun=policygrow
전국,22년, 2022년 2월 성장촉진자금(자동화설비) 접수 안내 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221214_1463.jsp?gubun=policygrow
전국,22년, 2022년 2월 재도전특별자금 접수 개시 안내 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221213_1463.jsp?gubun=policygrow
전국,22년, 2022년 2월 혁신형소상공인자금 접수 개시 안내 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221212_1463.jsp?gubun=policygrow
전국,22년, 2022년 데이터바우처 지원사업 수요기업 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221149_1463.jsp?gubun=policygrow
전국,22년, 2022년 소상공인 온라인쇼핑몰 기획전 지원사업 소상공인 참여기업 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221148_1463.jsp?gubun=policygrow
전국,22년, 2022년 업종별 경쟁력 강화사업 과제 추가 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221135_1463.jsp?gubun=policygrow
전국,22년, 2022년 소상공인 스마트상점 기술보급사업 스마트 상점가 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221024_1463.jsp?gubun=policygrow
전국,22년, 2022년 사회적경제기업 성장집중 지원사업 고용노동부 추천기업(사회적기업) 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220944_1463.jsp?gubun=policygrow
전국,22년, 2022년 업종별 경쟁력 강화사업 과제 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220933_1463.jsp?gubun=policygrow
전국,22년, 2022년 소공인 판로개척 지원사업 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220877_1463.jsp?gubun=policygrow
전국,22년, 사회적경제기업 전용자금(2022년 중소벤처기업부 소관 소상공인 정책자금 융자계획 공고),https://www.sbiz.or.kr/sup/ssup_c01/1220837_1463.jsp?gubun=policygrow
전국,21년, 2021년 혁신형소상공인 육성사업 온라인판로지원 소상공인 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220316_1463.jsp?gubun=policygrow
전국,21년, 2022년 소공인 복합지원센터 구축ㆍ운영사업 연장 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220315_1463.jsp?gubun=policygrow
전국,21년, 무료법률구조 지원(2021년 하반기 소상공인 역량강화사업 시행 공고),https://www.sbiz.or.kr/sup/ssup_c01/1220229_1463.jsp?gubun=policygrow
전국,21년, 2021년 소공인 공동기반시설 구축사업 추가 3차 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220225_1463.jsp?gubun=policygrow
전국,21년, 2022년 소공인 복합지원센터 구축사업 모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220224_1463.jsp?gubun=policygrow
전국,21년, 2021년 소상공인 구독경제 지원사업 참여 소상공인 모집 공고(소상공인 온라인판로 지원사업),https://www.sbiz.or.kr/sup/ssup_c01/1220221_1463.jsp?gubun=policygrow
전국,21년, 2021년 MICE산업 디지털전문인력 지원사업 참여기업 추가모집 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220217_1463.jsp?gubun=policygrow
전국,21년, 2021년 10월 소상공인 스마트설비도입자금 접수 안내 공고,https://www.sbiz.or.kr/sup/ssup_c01/1220216_1463.jsp?gubun=policygrow
전국,21년, 2021년 환경성적표지ㆍ저탄소인증 컨설팅 지원기업 모집 공고(신사업창업사관학교 수료생),https://www.sbiz.or.kr/sup/ssup_c01/1220215_1463.jsp?gubun=policygrow
전국,21년, 2021년 해외전시회 개별참가지원 사업 참여기공고업 4차 추가모집 공고(대한민국 온라인 수출 산업대전 선정업체),https://www.sbiz.or.kr/sup/ssup_c01/1220214_1463.jsp?gubun=policygrow
인천/경기,22년, [인천] 연수구 2022년 중소기업육성기금 융자계획(이차보전 지원) 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221102_1463.jsp?gubun=policygrow
인천/경기,22년, [인천] 2022년 소상공인시장진흥자금 융자 계획 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221005_1463.jsp?gubun=policygrow
인천/경기,22년," [경기] 용인시 2022년 소상공인 프리미엄 대출서비스 신청 공고(특례보증, 특례보증료, 이차보전)",https://www.sbiz.or.kr/sup/ssup_c01/1221004_1463.jsp?gubun=policygrow
대전/세종/충청,22년, [충북] 2022년 청년 소상공인 성장 지원사업 참여기업 모집 공고(지역주도형 청년일자리사업),https://www.sbiz.or.kr/sup/ssup_c01/1221150_1463.jsp?gubun=policygrow
대구/경북,22년, [대구] 2022년 소공인 제품ㆍ기술 경쟁력 향상 지원사업 공고,https://www.sbiz.or.kr/sup/ssup_c01/1221115_1463.jsp?gubun=policygrow
대구/경북,22년, [대구] 지역 청년 연계 소기업 일자리 확대지원 사업 참여기업 모집공고(지역주도형 청년일자리사업),https://www.sbiz.or.kr/sup/ssup_c01/1221006_1463.jsp?gubun=policygrow
광주/전라/제주,22년, [광주] 광산구 2022년 청년창업 활력플러스 지원사업 청년창업자 모집 공고(지역주도형 청년 일자리사업(상생기반대응형)),https://www.sbiz.or.kr/sup/ssup_c01/1221241_1463.jsp?gubun=policygrow
